Date	Time	Severity	PID	TID	Function	Message
16-01-2026	14:44:57.814	 INFO	 18568	 35264	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
16-01-2026	14:44:57.817	 INFO	 18568	 35264	DllMain	"PROCESS ATTACHED"
16-01-2026	14:44:57.817	 INFO	 18568	 42100	LateInitialization	"Intialization..."
16-01-2026	14:44:57.818	 INFO	 18568	 42100	LoadDisplayDevicesName	"DisplayDevices : "
16-01-2026	14:44:57.819	 INFO	 18568	 42100	LoadDisplayDevicesName	"\\.\DISPLAY1"
16-01-2026	14:44:57.820	 INFO	 18568	 42100	LoadDisplayDevicesName	"\\.\DISPLAY2"
16-01-2026	14:44:57.820	 INFO	 18568	 42100	LoadDisplayDevicesName	"\\.\DISPLAY3"
16-01-2026	14:44:57.824	ERROR	 18568	 42100	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
16-01-2026	14:44:57.824	 INFO	 18568	 42100	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 184188562
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
16-01-2026	14:44:57.825	 INFO	 18568	 42100	LateInitialization	"Intialization finished"
16-01-2026	18:32:08.299	 INFO	 49024	 13584	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
16-01-2026	18:32:08.332	 INFO	 49024	 13584	DllMain	"PROCESS ATTACHED"
16-01-2026	18:32:08.348	 INFO	 49024	  8644	LateInitialization	"Intialization..."
16-01-2026	18:32:08.350	 INFO	 49024	  8644	LoadDisplayDevicesName	"DisplayDevices : "
16-01-2026	18:32:08.353	 INFO	 49024	  8644	LoadDisplayDevicesName	"\\.\DISPLAY1"
16-01-2026	18:32:08.355	 INFO	 49024	  8644	LoadDisplayDevicesName	"\\.\DISPLAY2"
16-01-2026	18:32:08.356	 INFO	 49024	  8644	LoadDisplayDevicesName	"\\.\DISPLAY3"
16-01-2026	18:32:08.380	ERROR	 49024	  8644	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
16-01-2026	18:32:08.383	 INFO	 49024	  8644	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\sh.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 197819109
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
16-01-2026	18:32:08.385	 INFO	 49024	  8644	LateInitialization	"Intialization finished"
16-01-2026	18:55:51.607	 INFO	 44716	 53252	DllMain	"DLL_PROCESS_ATTACH Mon Oct  7 21:44:09 2024 11.3.2428.18"
16-01-2026	18:55:51.612	 INFO	 44716	 53252	DllMain	"PROCESS ATTACHED"
16-01-2026	18:55:51.649	 INFO	 44716	 26072	LateInitialization	"Intialization..."
16-01-2026	18:55:51.653	 INFO	 44716	 26072	LoadDisplayDevicesName	"DisplayDevices : "
16-01-2026	18:55:51.658	 INFO	 44716	 26072	LoadDisplayDevicesName	"\\.\DISPLAY1"
16-01-2026	18:55:51.668	 INFO	 44716	 26072	LoadDisplayDevicesName	"\\.\DISPLAY2"
16-01-2026	18:55:51.670	 INFO	 44716	 26072	LoadDisplayDevicesName	"\\.\DISPLAY3"
